WKT,nome,descrição
"POLYGON ((-52.348836 -31.789953, -52.353214 -31.786962, -52.35322 -31.786848, -52.353974 -31.786164, -52.354084 -31.786395, -52.354629 -31.786054, -52.355325 -31.785505, -52.355634 -31.785222, -52.356321 -31.784461, -52.356709 -31.784035, -52.356628 -31.783871, -52.356714 -31.783784, -52.356832 -31.784051, -52.355747 -31.785132, -52.355862 -31.785301, -52.35509 -31.785909, -52.355173 -31.785947, -52.354819 -31.786184, -52.354707 -31.786221, -52.354654 -31.786287, -52.35459 -31.786388, -52.354493 -31.78639, -52.354407 -31.786434, -52.354338 -31.786524, -52.354275 -31.78661, -52.354146 -31.786649, -52.354095 -31.786649, -52.353969 -31.786747, -52.353796 -31.786899, -52.353276 -31.787231, -52.353104 -31.787355, -52.353079 -31.787408, -52.352623 -31.787688, -52.352406 -31.787824, -52.352447 -31.787871, -52.352328 -31.787915, -52.352299 -31.787887, -52.352026 -31.788081, -52.351937 -31.78814, -52.351547 -31.788422, -52.351456 -31.788498, -52.351359 -31.788569, -52.35107 -31.788763, -52.350838 -31.788903, -52.350755 -31.788963, -52.350646 -31.789063, -52.350516 -31.789163, -52.350361 -31.789199, -52.350353 -31.789238, -52.350304 -31.789279, -52.350185 -31.789353, -52.350072 -31.789415, -52.350032 -31.789491, -52.34989 -31.789571, -52.349607 -31.789725, -52.349414 -31.78979, -52.349171 -31.789885, -52.349025 -31.789969, -52.348836 -31.789953))",Evacuação Imediata,
"POLYGON ((-52.359328 -31.775834, -52.359003 -31.775414, -52.358542 -31.774928, -52.358215 -31.774554, -52.358166 -31.774338, -52.358212 -31.774035, -52.358444 -31.773693, -52.358632 -31.773469, -52.359185 -31.773767, -52.359319 -31.773676, -52.35946 -31.773416, -52.359545 -31.773404, -52.3596 -31.77318, -52.359604 -31.773017, -52.359697 -31.772961, -52.359774 -31.772882, -52.359912 -31.772948, -52.359985 -31.773253, -52.359999 -31.773349, -52.359963 -31.773655, -52.36018 -31.774057, -52.359719 -31.774883, -52.359328 -31.775834))",Risco Médio,
"POLYGON ((-52.223339 -31.749253, -52.223555 -31.749146, -52.223564 -31.749008, -52.223708 -31.749042, -52.22373 -31.748795, -52.223987 -31.748094, -52.224309 -31.748008, -52.224323 -31.747357, -52.224746 -31.747364, -52.224871 -31.747036, -52.228661 -31.749558, -52.229343 -31.748927, -52.230202 -31.749775, -52.232959 -31.752121, -52.233974 -31.75561, -52.23457 -31.757753, -52.23524 -31.759593, -52.235125 -31.761493, -52.234612 -31.765079, -52.237162 -31.766247, -52.241285 -31.762006, -52.243876 -31.76254, -52.237707 -31.76678, -52.237797 -31.766977, -52.237875 -31.767177, -52.237909 -31.767509, -52.238031 -31.767805, -52.238095 -31.768235, -52.238329 -31.768542, -52.2385 -31.769351, -52.238436 -31.769652, -52.238359 -31.770033, -52.238749 -31.770227, -52.238854 -31.770563, -52.238892 -31.770855, -52.238895 -31.770984, -52.238802 -31.771185, -52.238782 -31.771235, -52.238757 -31.771274, -52.238699 -31.77135, -52.238664 -31.771573, -52.227224 -31.768403, -52.22819 -31.761722, -52.230446 -31.761666, -52.229912 -31.758942, -52.229104 -31.755724, -52.228789 -31.754933, -52.22806 -31.755007, -52.227589 -31.755284, -52.227153 -31.755248, -52.227113 -31.754763, -52.226686 -31.753399, -52.226326 -31.752429, -52.22534 -31.75074, -52.224763 -31.750075, -52.224174 -31.749977, -52.223914 -31.750056, -52.223339 -31.749253))",Risco Alto,
"POLYGON ((-52.286437 -31.753647, -52.285595 -31.755904, -52.283812 -31.757555, -52.282043 -31.757725, -52.278954 -31.757356, -52.276375 -31.757319, -52.275163 -31.757692, -52.274185 -31.758225, -52.274113 -31.759271, -52.274666 -31.760253, -52.275426 -31.761175, -52.276395 -31.761957, -52.27084 -31.764423, -52.268473 -31.763854, -52.266549 -31.763339, -52.265686 -31.763247, -52.265051 -31.763152, -52.264768 -31.763941, -52.265437 -31.764485, -52.266824 -31.765408, -52.266794 -31.766123, -52.266287 -31.766249, -52.265411 -31.767675, -52.254982 -31.776442, -52.250326 -31.777366, -52.2492 -31.775107, -52.249647 -31.774081, -52.253109 -31.765797, -52.255975 -31.762032, -52.263741 -31.764564, -52.269903 -31.756638, -52.286437 -31.753647))",Risco Alto,
"POLYGON ((-52.270263 -31.756157, -52.273771 -31.750973, -52.273664 -31.749173, -52.274977 -31.748426, -52.274893 -31.746806, -52.274663 -31.744604, -52.273939 -31.741906, -52.27491 -31.740305, -52.274017 -31.739019, -52.271524 -31.738893, -52.268555 -31.738766, -52.267339 -31.736986, -52.266836 -31.735301, -52.267938 -31.730981, -52.269053 -31.729463, -52.266966 -31.726611, -52.264428 -31.726211, -52.261951 -31.72528, -52.259534 -31.722751, -52.256346 -31.722725, -52.254403 -31.726191, -52.248615 -31.726043, -52.246543 -31.724179, -52.241502 -31.721594, -52.240255 -31.719101, -52.240477 -31.717554, -52.243512 -31.717017, -52.247114 -31.717576, -52.248748 -31.711187, -52.252415 -31.709689, -52.260667 -31.715343, -52.273266 -31.720432, -52.277433 -31.725574, -52.278701 -31.729987, -52.277884 -31.734721, -52.281058 -31.730663, -52.283871 -31.729269, -52.28647 -31.72802, -52.288073 -31.729051, -52.282008 -31.736067, -52.280593 -31.742033, -52.282943 -31.745049, -52.286068 -31.74519, -52.28733 -31.74541, -52.288115 -31.747664, -52.288848 -31.749783, -52.289857 -31.751841, -52.288047 -31.752853, -52.270263 -31.756157))",Risco Alto,
"POLYGON ((-52.290237 -31.75262, -52.288885 -31.7498, -52.289633 -31.749028, -52.291217 -31.748111, -52.292009 -31.747849, -52.29273 -31.74785, -52.295921 -31.748922, -52.297905 -31.747642, -52.302604 -31.744322, -52.304851 -31.746523, -52.302027 -31.748479, -52.303946 -31.749883, -52.304517 -31.750497, -52.30331 -31.75129, -52.30278 -31.751674, -52.303511 -31.752009, -52.303444 -31.752762, -52.30355 -31.753226, -52.301651 -31.755084, -52.299369 -31.753992, -52.29789 -31.753041, -52.297019 -31.752671, -52.295698 -31.752244, -52.29265 -31.752638, -52.290411 -31.752953, -52.290237 -31.75262))",Risco Alto,
"POLYGON ((-52.344607 -31.779307, -52.347664 -31.778571, -52.345281 -31.771675, -52.347347 -31.769915, -52.351115 -31.768687, -52.351901 -31.774472, -52.355648 -31.774467, -52.355966 -31.773899, -52.357018 -31.773987, -52.357747 -31.773183, -52.358431 -31.773362, -52.358162 -31.774075, -52.3581 -31.774427, -52.358332 -31.774908, -52.359107 -31.77577, -52.359043 -31.776487, -52.35841 -31.777179, -52.356976 -31.777437, -52.355501 -31.777303, -52.355418 -31.778112, -52.355102 -31.778856, -52.354035 -31.779517, -52.354257 -31.78142, -52.353343 -31.782259, -52.352462 -31.782899, -52.347509 -31.78634, -52.345729 -31.785709, -52.345838 -31.785254, -52.346206 -31.785024, -52.346528 -31.784528, -52.346688 -31.784258, -52.346282 -31.78391, -52.346152 -31.783039, -52.345478 -31.781192, -52.3449 -31.779838, -52.344607 -31.779307))",Risco Alto,
"POLYGON ((-52.351101 -31.76874, -52.349049 -31.769303, -52.348111 -31.767069, -52.347174 -31.765211, -52.34654 -31.763611, -52.345973 -31.762174, -52.345687 -31.761291, -52.344826 -31.759301, -52.343978 -31.757543, -52.342697 -31.754437, -52.345596 -31.750733, -52.349169 -31.746189, -52.349643 -31.745424, -52.349622 -31.743646, -52.349916 -31.743349, -52.350317 -31.742663, -52.351093 -31.741115, -52.352153 -31.741047, -52.352548 -31.740986, -52.353997 -31.740823, -52.356554 -31.740259, -52.358331 -31.739939, -52.359545 -31.739697, -52.360341 -31.738088, -52.362596 -31.736556, -52.365615 -31.733456, -52.351101 -31.76874))",Risco Médio,
"POLYGON ((-52.399599 -31.7567, -52.399124 -31.75722, -52.398118 -31.758016, -52.396099 -31.759628, -52.395088 -31.760278, -52.391785 -31.762431, -52.39002 -31.763603, -52.388752 -31.764139, -52.387432 -31.764738, -52.38622 -31.764948, -52.384618 -31.765011, -52.382 -31.765087, -52.378145 -31.765231, -52.37776 -31.765272, -52.376844 -31.765387, -52.375935 -31.765464, -52.374943 -31.765619, -52.373856 -31.765697, -52.372473 -31.766224, -52.371761 -31.766354, -52.370947 -31.766838, -52.369606 -31.767725, -52.368483 -31.768315, -52.367212 -31.769007, -52.366266 -31.769722, -52.364926 -31.770556, -52.363949 -31.771249, -52.36282 -31.771853, -52.361999 -31.772461, -52.361135 -31.77311, -52.360146 -31.774037, -52.359953 -31.773674, -52.359961 -31.773295, -52.35992 -31.772973, -52.359744 -31.772901, -52.35959 -31.773001, -52.359539 -31.773409, -52.35944 -31.7734, -52.359255 -31.77369, -52.359164 -31.773731, -52.358376 -31.773386, -52.357818 -31.773171, -52.357044 -31.773935, -52.355997 -31.773935, -52.355674 -31.774464, -52.351787 -31.774464, -52.351154 -31.768632, -52.351347 -31.768009, -52.351952 -31.767683, -52.352756 -31.767057, -52.354175 -31.76689, -52.355463 -31.766848, -52.357155 -31.76683, -52.358206 -31.766848, -52.360946 -31.76648, -52.364583 -31.765935, -52.36763 -31.76538, -52.370718 -31.764795, -52.373919 -31.76431, -52.376895 -31.763848, -52.378423 -31.763526, -52.381364 -31.763048, -52.383187 -31.763065, -52.385365 -31.763292, -52.385596 -31.763066, -52.386365 -31.76294, -52.388234 -31.762411, -52.388737 -31.762068, -52.389295 -31.761491, -52.390309 -31.760855, -52.391194 -31.760176, -52.391708 -31.759894, -52.392657 -31.758982, -52.393671 -31.758032, -52.394295 -31.757161, -52.395325 -31.756427, -52.396768 -31.754792, -52.39991 -31.756323, -52.399599 -31.7567))",Risco Alto,
"POLYGON ((-52.323754 -31.779895, -52.326296 -31.780656, -52.327558 -31.780175, -52.33196 -31.778948, -52.332674 -31.780818, -52.334942 -31.780093, -52.337679 -31.779296, -52.338386 -31.781145, -52.338898 -31.782225, -52.338029 -31.782467, -52.337846 -31.782529, -52.337241 -31.782529, -52.337194 -31.782639, -52.336205 -31.782214, -52.335859 -31.782204, -52.335616 -31.782608, -52.330437 -31.781911, -52.328953 -31.781883, -52.328323 -31.781891, -52.327861 -31.781899, -52.327467 -31.781785, -52.326613 -31.781754, -52.325546 -31.781907, -52.325092 -31.781982, -52.324604 -31.782174, -52.324167 -31.782341, -52.323664 -31.78239, -52.323291 -31.782358, -52.322905 -31.782309, -52.322681 -31.782303, -52.322387 -31.782289, -52.322233 -31.782289, -52.322089 -31.782312, -52.321841 -31.782317, -52.321632 -31.782255, -52.321382 -31.782218, -52.321267 -31.782278, -52.321142 -31.782262, -52.323754 -31.779895))",Risco Alto,
"POLYGON ((-52.36492 -31.739453, -52.366438 -31.740043, -52.369192 -31.741348, -52.362877 -31.750591, -52.363445 -31.751987, -52.362512 -31.752595, -52.36171 -31.75298, -52.361459 -31.754191, -52.360033 -31.757273, -52.359287 -31.757524, -52.356148 -31.761334, -52.356329 -31.763161, -52.352547 -31.765316, -52.354422 -31.760493, -52.357892 -31.752286, -52.362009 -31.742456, -52.363414 -31.73909, -52.36492 -31.739453))",Risco Médio,
"POLYGON ((-52.146635 -31.697187, -52.146798 -31.69687, -52.149312 -31.69668, -52.149521 -31.696714, -52.149919 -31.696635, -52.149997 -31.696603, -52.15018 -31.696612, -52.150303 -31.696398, -52.150587 -31.696249, -52.150705 -31.696483, -52.150587 -31.696768, -52.151089 -31.697189, -52.151431 -31.697277, -52.151346 -31.696061, -52.154551 -31.697536, -52.15529 -31.697591, -52.15646 -31.698233, -52.156706 -31.698525, -52.157123 -31.698628, -52.157943 -31.698988, -52.158676 -31.699272, -52.158244 -31.700069, -52.158352 -31.700628, -52.159112 -31.701274, -52.158976 -31.703653, -52.159624 -31.704203, -52.159961 -31.704591, -52.160064 -31.70467, -52.159735 -31.704917, -52.157641 -31.703617, -52.156276 -31.70246, -52.154533 -31.701799, -52.154302 -31.701499, -52.154664 -31.701086, -52.154429 -31.70047, -52.15351 -31.699964, -52.152851 -31.699366, -52.151679 -31.698828, -52.150966 -31.698841, -52.150763 -31.698735, -52.150784 -31.698549, -52.146635 -31.697187))",Evacuação Imediata,
"POLYGON ((-52.151321 -31.696054, -52.152844 -31.695613, -52.154947 -31.69679, -52.155661 -31.697161, -52.156095 -31.69725, -52.156897 -31.697553, -52.15706 -31.697688, -52.157878 -31.698065, -52.158451 -31.698419, -52.158847 -31.698502, -52.158663 -31.69929, -52.156916 -31.698585, -52.156702 -31.698561, -52.15645 -31.698244, -52.155267 -31.697591, -52.154549 -31.697578, -52.151321 -31.696054))",Evacuação Imediata,
